Idx,n_null,discret_null
10001,28,2
10002,42,3
10003,29,2
10006,33,2
10007,50,4
10008,32,2
10011,25,2
10015,130,5
10019,32,2
10021,49,4
10022,29,2
10024,49,4
10026,45,3
10027,49,4
10031,46,3
10032,25,2
10036,29,2
10039,28,2
10040,32,2
10044,29,2
10050,28,2
10054,42,3
10059,28,2
1006,76,5
10063,32,2
10067,25,2
10068,28,2
10069,45,3
1007,44,3
10070,32,2
10072,25,2
10073,28,2
10075,28,2
10077,46,3
10079,54,5
10080,67,5
10081,49,4
10084,32,2
10086,114,5
10087,29,2
10088,28,2
10089,32,2
1009,51,4
10091,32,2
10096,49,4
10100,28,2
10101,49,4
10105,20,1
10106,28,2
10109,49,4
10110,63,5
10111,29,2
10113,80,5
10116,32,2
10119,29,2
10124,29,2
10128,49,4
10132,45,3
10135,42,3
10137,45,3
10138,32,2
1014,49,4
10145,45,3
10146,25,2
10147,32,2
10151,46,3
10152,49,4
10153,76,5
10155,70,5
10156,30,2
10158,30,2
10160,32,2
10164,6,1
10165,25,2
10166,49,4
10169,32,2
1017,45,3
10171,67,5
10189,45,3
10193,66,5
10195,50,4
10196,28,2
1020,46,3
10206,28,2
10208,49,4
1021,49,4
10212,49,4
10220,32,2
10225,28,2
10230,49,4
10236,49,4
10238,28,2
1024,25,2
10241,23,1
10243,45,3
10249,46,3
10251,8,1
10254,62,5
10258,25,2
1026,50,4
10263,32,2
10264,29,2
1027,42,3
10273,45,3
10276,46,3
10277,131,5
10279,32,2
1028,45,3
10283,46,3
10288,32,2
1029,46,3
10299,12,1
1030,40,3
10300,49,4
10302,32,2
10304,32,2
10306,33,2
10308,32,2
10311,32,2
10315,80,5
10316,49,4
10319,29,2
1032,47,4
10320,42,3
10321,66,5
10323,28,2
10324,34,2
10325,62,5
10327,15,1
10328,26,2
10329,25,2
10331,46,3
10332,28,2
10335,29,2
10338,25,2
10341,50,4
10342,77,5
10346,45,3
10347,45,3
10349,20,1
10350,28,2
10352,64,5
10353,29,2
10360,50,4
10362,32,2
10365,49,4
10368,32,2
10369,29,2
1037,67,5
10370,32,2
10371,43,3
10373,45,3
